,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
49,2026-05-12,SH603019,-0.013583475723862648,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
50,2026-05-12,SH601998,0.003043568227440119,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
51,2026-05-12,SH601995,0.026146814227104187,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
52,2026-05-12,SH601988,0.05814352259039879,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
53,2026-05-12,SH603296,-0.012233107350766659,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
54,2026-05-12,SH601985,0.13205525279045105,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
55,2026-05-12,SH601919,-0.09738174825906754,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
56,2026-05-12,SH601916,0.1854298710823059,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
57,2026-05-12,SH601901,-0.03362860903143883,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
58,2026-05-12,SH601899,-0.0061013116501271725,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
59,2026-05-12,SH601898,0.015850311145186424,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
60,2026-05-12,SH601888,-0.09662987291812897,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
61,2026-05-12,SH601881,-0.030019337311387062,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
62,2026-05-12,SH601878,-0.0012550042010843754,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
63,2026-05-12,SH601939,0.03583097830414772,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260512_14,1e2c643d65184025843cca4965908a90,0.076,,,
